Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,3/22/2022 1:10,2h 50m,non-stop,No info,3897
Air India,1/5/2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,5:50,13:15,7h 25m,2 stops,No info,7662
Jet Airways,9/6/2019,Delhi,Cochin,DEL → LKO → BOM → COK,9:25,6/10/2022 4:25,19h,2 stops,No info,13882
IndiGo,12/5/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5h 25m,1 stop,No info,6218
IndiGo,1/3/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4h 45m,1 stop,No info,13302
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,9:00,11:25,2h 25m,non-stop,No info,3873
Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,3/13/2022 10:25,15h 30m,1 stop,In-flight meal not included,11087
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,8:00,3/2/2022 5:05,21h 5m,1 stop,No info,22270
Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,8:55,3/13/2022 10:25,25h 30m,1 stop,In-flight meal not included,11087
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,8625
Air India,1/6/2019,Delhi,Cochin,DEL → BLR → COK,9:45,23:00,13h 15m,1 stop,No info,8907
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,5/10/2022 9:20,12h 10m,1 stop,In-flight meal not included,9663
IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804
Air India,3/3/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,3/4/2022 19:15,26h 35m,2 stops,No info,14011
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,8:45,13:15,4h 30m,1 stop,No info,5830
Jet Airways,12/6/2019,Delhi,Cochin,DEL → BOM → COK,14:00,6/13/2022 12:35,22h 35m,1 stop,In-flight meal not included,10262
Air India,12/6/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,6/13/2022 19:15,23h,2 stops,No info,13381
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,5/28/2022 12:35,20h 35m,1 stop,In-flight meal not included,12898
GoAir,6/3/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,3/19/2022 13:20,15h 20m,1 stop,No info,6955
IndiGo,3/4/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,2h 50m,non-stop,No info,3943
IndiGo,1/5/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823
